地区,确诊,治愈,死亡
万宁,8,-,-
儋州,6,-,-
陵水黎族自治县,5,-,-
琼海,5,-,-
临高,4,-,-
澄迈,2,-,1
琼中黎族苗族自治县,1,-,-
东方,1,-,-
定安,1,-,-
晋中,13,-,-
运城,10,-,-
大同,8,-,-
太原,6,1,-
吕梁,5,-,-
朔州,3,-,-
长治,3,-,-
晋城,3,-,-
忻州,3,-,-
阳泉,1,-,-
临汾,1,-,-
河北区,9,-,-
河东区,8,-,-
和平区,4,-,-
外地来津人员,4,-,-
宝坻区,4,-,-
河西区,3,-,-
东丽区,3,-,-
红桥区,2,-,-
滨海新区,2,-,-
西青区,2,-,-
南开区,2,-,-
宁河区,2,-,-
兰州,23,-,-
天水,3,-,-
陇南,3,-,-
定西,3,-,-
张掖,2,-,-
临夏州,2,-,-
平凉,1,-,-
金昌,1,-,-
白银,1,-,-
甘南州,1,-,-
六盘水,8,-,-
贵阳,6,1,-
黔南州,5,-,-
遵义,5,-,-
黔东南州,4,-,-
铜仁地区,3,1,-
安顺,2,-,-
黔西南州,1,-,-
银川,16,-,-
吴忠,7,-,-
中卫,2,-,-
固原,2,-,-
鄂尔多斯,6,-,-
包头,5,-,-
巴彦淖尔,3,-,-
呼伦贝尔,2,1,-
呼和浩特,2,-,-
赤峰,2,-,-
乌兰察布,2,-,-
兴安盟,1,-,-
通辽,1,-,-
乌海,1,-,-
长春,12,1,-
吉林市,3,-,-
延边,2,-,-
松原,2,-,-
四平,1,-,-
通化,1,-,-
乌鲁木齐,8,-,-
伊犁州,5,-,-
吐鲁番地区,1,-,-
阿克苏地区,1,-,-
西宁,9,-,-
拉萨,1,-,-
